弹幕,时间
666,2018-07-28 22:16:28
屏蔽“考研”,2018-07-29 10:52:11
横过来的是协向量，相当于二维的等高线,2018-07-31 16:53:14
大家好我叫内尔,2018-08-01 11:34:05
对对对,2018-08-01 11:34:44
坐标系不同不会影响物理性质，因此矢量可以不需要坐标系,2018-08-01 12:27:00
初中党表示：原来如此,2018-08-01 12:29:35
谁说向量好证明,2018-08-01 12:30:45
平行四边形,2018-08-01 12:33:02
各个方向的分量相加等于向量,2018-08-01 12:35:50
see you,2018-08-01 13:19:41
还没学相对论的物理学生,2018-08-02 11:15:57
哇 我,2018-08-09 20:26:26
嗯,2018-08-09 20:26:41
人生苦短，我学Python,2018-08-13 18:13:17
向量加减不分先后吧。。,2018-08-25 19:11:58
对加法和数乘封闭,2018-08-31 17:43:28
ignore还行,2018-09-10 19:07:08
嘘  安心看,2018-09-10 19:11:12
用矢量想就懂了,2018-09-16 22:35:43
安静学习！！,2018-09-16 22:36:54
漂亮警告,2018-09-18 22:51:18
你好啊,2018-09-19 08:47:14
用python写的…………,2018-09-20 15:57:46
看个视频都有人装x ？？？,2018-09-22 09:52:56
这都能学出优越感吗,2018-09-22 09:53:06
考研的话，我是来加深一下理解的，光看数字太抽象了,2018-09-26 00:09:36
我可能是个假的计算机专业学生,2018-09-28 09:30:43
人生苦短，多学编程,2018-09-28 09:43:15
归位，上课了哦~,2018-10-03 04:47:04
等下一讲,2018-10-05 14:08:06
"6位大叔,你们好",2018-10-05 14:09:43
Python里也有元组啊 turple,2018-10-05 17:02:32
列向量,2018-10-05 20:46:52
有数乘了，还群？,2018-10-13 00:28:31
高中只教二维的知道你是文科生了,2018-10-13 00:34:51
哪里讲点积叉积了？,2018-10-13 00:38:38
有些弹幕让我怀疑他们上了假的数学课,2018-10-13 17:33:34
666666666666666666666666666,2018-10-15 21:07:39
推荐初中生看这个为高中做准备,2018-10-20 19:57:07
给力！,2018-10-21 15:32:59
政治学生呢。是什么样子,2018-10-26 22:50:38
哇 我,2018-11-01 09:46:12
那如果是长度4的矩阵 就要在四维里画向量吗,2018-11-01 09:48:02
陈独秀们请坐下。挡着我看不见黑板了,2018-11-01 09:50:07
坐下秀们。看不见黑板了！,2018-11-01 09:53:22
正确的。可以这样理解,2018-11-01 09:58:24
本系列课程就是让你用别的角度去理解定义。如果功利考研，比赛等 这个视频作用不大。不如多做些题。,2018-11-01 10:04:04
妙啊,2018-11-01 10:05:35
值。又学英语又学数学还学py,2018-11-01 10:07:09
github 3b1b/manim,2018-11-01 16:07:48
感觉我的线代白学了,2018-11-04 13:07:12
23333333333333333333333,2018-11-04 23:09:31
向量是线代的基础，往后看就不觉得是高中内容了,2018-11-08 15:46:01
你们什么学校是、？,2018-11-08 19:51:03
向量一般都是竖着写的,2018-11-11 12:30:05
赞,2018-11-14 09:44:02
唉大四的老狗看到这视频相见恨晚,2018-11-14 23:29:29
0.5倍速好评,2018-11-15 20:34:55
有没有湖北工业大学的,2018-11-16 07:36:02
这个视频竟然特意有中文,2018-11-16 11:15:01
我站物理,2018-11-17 19:05:16
因为要竖着表示两个自由度（猜测）,2018-11-17 20:51:40
python和Matlab吧……,2018-11-19 20:55:29
我感觉视频做得好厉害……,2018-11-20 14:25:59
6666,2018-11-22 21:46:55
关闭弹幕可以获得更佳体验,2018-11-25 18:06:37
这里竟然讲了个笑话··反应半天才get到,2018-11-25 18:24:57
图形学的看到这里虎躯一震···,2018-11-25 18:38:21
数学家你别委屈。你该因呢！,2018-11-25 22:21:55
啊啊过于可爱！（我可能不行了…,2018-11-25 23:16:34
YU,2018-12-04 17:24:26
厉害，这样多维实际问题就可以在线性代数的角度来考虑了！,2018-12-10 19:21:12
好好看 好好学 世界很大 你懂的很少,2018-12-11 21:14:01
至少目前高中生还能看懂，等到特征值看看还有几个人,2018-12-16 14:00:27
18个小伙伴你们好,2018-12-19 23:10:48
线性运算,2018-12-19 23:37:53
八条公理,2018-12-29 02:13:41
学计算机的习惯竖着,2018-12-29 14:29:09
2018-12-30 14:05到此一游,2018-12-30 14:08:56
mnmb,2019-01-04 16:18:54
国内国外不是一样的吗,2019-01-04 16:28:45
太直观了，感动。我刚刚在学堂在线听了半天没听懂,2019-01-05 22:14:50
我觉得很好，我这种高中基础的都听懂了。,2019-01-05 22:21:33
感谢讲得这么明白,2019-01-05 22:21:58
。没人关心你是干嘛的，但大家都想学好线代罢了,2019-01-08 19:27:33
比自己画舒服多了,2019-01-10 03:29:53
这个图使用mathematica做的,2019-01-19 20:31:47
经费在燃烧,2019-01-27 22:41:48
向径,2019-01-28 10:59:33
我是一个假的计算机类学生,2019-01-30 17:00:27
@一方通行,2019-02-05 08:11:36
自由矢量,2019-02-09 10:48:11
这不是抽象代数，抽象代数讨论群论的好咩,2019-02-10 10:34:14
这里房子是241m2,2019-02-12 13:32:30
价格是203.6万人民币,2019-02-12 13:32:54
单价1.18万每平米,2019-02-12 13:33:32
Σ(っ °Д °;)っ,2019-02-12 13:33:42
cpp大法好,2019-02-16 10:52:38
是我了,2019-02-17 11:33:55
前面的，manim，b站专栏有教怎么安装,2019-02-17 11:36:18
666,2019-02-17 11:39:01
2016最强新番（不）,2019-02-17 11:43:09
喵喵喵,2019-02-17 19:53:13
操纵空间,2019-02-21 06:45:46
666666666666666666666666,2019-02-27 19:53:28
群论...,2019-03-03 11:19:14
数学家好委屈（好萌）,2019-03-05 19:57:35
15个向量你们好哇,2019-03-05 19:59:34
python不灭！,2019-03-05 20:05:46
python大法好,2019-03-08 14:50:57
关弹幕，保智商,2019-03-13 18:09:48
年少轻狂,2019-03-18 20:13:15
三维生物无法想象四维。,2019-03-19 09:14:31
喵喵喵,2019-03-22 18:44:29
维度的意思,2019-03-26 07:19:53
说喜欢横着排的怕是没读过大学的线代,2019-03-27 00:33:43
原来如此,2019-03-28 09:18:15
？？？？？？？,2019-03-28 15:41:15
都说了CS专业用二维表矩阵示。。。,2019-03-31 00:01:15
好好听课！,2019-04-03 17:08:54
为什么是列向量，不是行向量,2019-04-06 13:27:49
女子女少口阿！！,2019-04-06 21:25:46
vector！！！,2019-04-06 21:27:04
女子女少口阿女子女少口阿,2019-04-06 21:35:54
一维向量 一般默认是列向量,2019-04-08 18:37:41
国内的数学教材受苏联老大哥影响 抽象派 不爱举例子和应用,2019-04-08 18:42:06
py,2019-04-08 18:44:46
数据可视化,2019-04-08 18:44:21
向量空间,2019-04-10 05:23:34
物理视角是我本人了,2019-04-17 14:20:44
线性代数里横竖都是向量啊,2019-04-19 23:20:54
9个小伙伴你们好,2019-04-21 18:20:28
每天看多少视频呢 ？,2019-04-21 18:20:45
"这里用物理上位移的定义比较好理解，v,w代表运动轨迹v＋w代表位移",2019-04-25 10:12:52
明天考线代QAQ,2019-05-04 17:05:45
10人跟我一起看,2019-05-06 16:08:38
好真实,2019-05-11 08:54:42
我说吗 咋跟我学的不一样了,2019-05-11 13:35:56
高中的哈哈哈哈你想笑死我，你估计也就会这一节了,2019-05-12 16:29:06
李萨如图形,2019-05-12 20:41:58
杭州电子科技大学,2019-05-15 00:08:39
向量刻画对象，矩阵刻画对象的运动,2019-05-18 14:18:43
线代高中开始学？？我这大学才开始,2019-05-21 10:35:33
原视频不是误导人，可能是代码打错了,2019-05-21 10:38:08
值了 英语数学python 一个课程学你敢信,2019-05-21 15:52:50
字幕菌辛苦了,2019-05-22 00:08:05
afoier路过,2019-05-29 07:44:09
关弹幕保智商,2019-06-12 14:42:13
关弹幕保智商,2019-06-12 14:42:51
（-2，3）,2019-06-14 12:44:25
[-2],2019-06-14 12:47:14
绿字别跑OI带我一个,2019-06-17 18:35:34
看到这张图，我确定这是我想要的教程,2019-06-18 00:26:41
学长推荐的up，赞,2019-06-19 00:03:10
哪位大神知道这动画是怎么做出来的,2019-06-22 18:04:48
计科视角路过,2019-06-27 10:05:13
真便宜！！上海房价的1/8,2019-06-27 12:30:58
"只要再假设每个向量的起点为(0,0),两个向量加起来后面向量的起点(0,0)就被覆盖了",2019-06-29 14:02:22
我就后悔了，怎么能早点遇到这个哥们，说到心坎里了。大学线性代数，就是各种奇怪的计算，都不知道为什么是这样子的,2019-07-05 13:49:58
三维生物看不到思维向量,2019-07-10 21:43:43
第一遍看的有点迷,2019-07-11 11:36:26
刚学会发弹幕...,2019-07-18 12:20:33
居然有人,2016-10-19 21:09:29
这么好的视频为什么没人？,2016-10-20 00:12:17
认真学习呢，没空发弹幕,2016-10-20 12:12:10
怎么没人了？,2016-10-20 15:03:36
出处：辛普森一家2333,2016-10-20 20:08:28
另一个兄弟，加油,2016-10-20 21:09:54
看看是不是三阶矩阵,2016-10-20 22:10:56
有本事你画个四维空间再给我转来转去。。,2016-10-20 22:10:56
此处应给出3阶矩阵乘法公式,2016-10-20 23:11:00
说四维空间的 咱假想一个t轴 既垂直x轴也垂直y轴还垂直z轴 就可以了,2016-10-21 00:12:38
←_←一大坨有毛用啊2333,2016-10-21 14:02:31
由前面二阶矩阵乘法公式自然能推导三阶矩阵乘法公式,2016-10-21 16:04:44
可以用色彩代替,2016-10-21 16:04:45
就是时间，与x，y，,2016-10-21 16:04:46
时间与x，y，z都是线性无关，所以就是四维的t轴了。,2016-10-21 16:04:47
时间能算进空间维度，EXM？,2016-10-21 17:05:52
都在认真听课,2016-10-21 18:06:53
哈哈哈哈,2016-10-21 19:07:23
只剩下9个一起看的了= =,2016-10-21 20:08:08
还有7个,2016-10-21 20:08:32
加上时间的话是四维时空，不是四维空间。。。,2016-10-22 10:10:07
有人,2016-10-22 19:07:43
23333333,2016-10-23 06:06:53
好像对个答案啊,2016-10-24 16:04:51
四维空间画不出来不代表不存在啊,2016-10-24 23:11:26
弹幕越来越少了,2016-10-25 10:10:57
厉害了我的哥,2016-10-27 11:11:11
想知道不是方阵的矩阵的含义,2016-10-28 00:12:00
hello,2016-10-28 00:12:19
6,2016-10-29 14:02:37
为什么合集多这么多zz。。,2016-10-30 15:03:17
一行乘一列，二行乘一列。。。。。。,2016-11-02 00:12:09
多加一个坐标轴就可以弄成四维，不过你反应的过来吗2333,2016-11-04 16:04:08
这个好,2016-11-07 00:12:07
四维可以画，你把颜色想成一个维度就能用三维表示四维了,2016-11-08 20:08:22
直接用竖式法根本不用记公式,2016-11-10 01:01:05
上课时不要说话，认真听讲,2016-11-12 18:06:40
！！！,2016-11-12 18:06:42
但是三维一个点只能对应一个颜色呀,2016-11-13 01:01:39
AYYZ28fsy坚持到了这里,2016-11-13 22:10:55
说时间也算纬度的脑子要换一个了,2016-11-14 17:05:29
神他妈时间,2016-11-15 19:07:30
"←颜色好评，设“颜色= f(x,y,z)”则空间上的点的颜色就由三维坐标确定了。",2016-11-16 16:04:32
妙啊，妙,2016-11-16 22:10:02
⬅️别拿总时间当第四维度了.......还有第五第六第n个维度，你要用啥？,2016-11-17 18:06:28
再加一个坐标，根本不用在意怎么画。,2016-11-17 21:09:37
确实是时间，人类是4维时空生物，观察不了时间,2016-11-17 21:09:38
不是没人，是光顾着学，没时间发弹幕,2016-11-27 17:05:27
数学概念和物理概念不同，三重积分拿密度当第四维的题还少吗,2016-11-30 20:08:14
来涞去法 前来报到,2016-12-05 11:11:19
s回见难道不应该是所有唯独都应该具有的纬度吗,2016-12-06 22:10:48
10个,2016-12-10 16:04:14
根本停不下来啊,2016-12-15 19:07:59
沉迷学习，无法自拔,2016-12-15 23:11:16
四维空间根本不是什么加上时间轴，不懂别瞎说好吗？好好听课,2016-12-15 23:11:21
就想问一句时间能往回倒么,2016-12-19 14:02:22
把MAC 自带的 数学绘图 APP用的真是登峰造极,2016-12-20 13:01:42
我的天，喊时间的是怎么看到这里的，你们是不是还看三体,2016-12-20 17:05:39
如果你理解2,2016-12-20 18:06:04
如果理解了二阶就能推三阶，又不是只让你算数,2016-12-20 18:06:05
我爱学习,2016-12-21 19:07:35
有没有工数熟肉？？？,2016-12-21 19:07:35
四维时空是爱因斯坦在相对论引入的概念，方便列相对论的方程,2017-01-02 13:01:45
但不代表时间和空间有任何关系！少看点科幻小说,2017-01-02 13:01:45
其实计算机图形学用的是四维向量。。,2017-01-02 13:01:47
“空间”和“时空”是不同的概念,2017-01-02 19:07:11
物理书上见多了,2017-01-03 21:09:37
越往后越要专注,2017-01-04 22:10:39
应该是误入了第三个维度 翻译？,2017-01-06 15:03:29
可以颜色的深度由第四个轴上的数值决定 ,2017-01-06 15:03:33
他就是让你先自己想再给出,2017-01-07 15:03:59
没人规定一定要垂直吧，可以斜着画啊,2017-01-10 14:02:01
突然明白单位矩阵还有三种初等变换是怎么回事了！！,2017-01-24 00:12:04
数学意义上的四维和物理意义上的四维不（一定）是一回事,2017-01-24 20:08:00
关三体毛事，三体里面的第四维度不是时间，有些其他的科幻里面才是,2017-01-31 13:01:35
四维空间画得出来的，投影到二维就好,2017-02-11 01:01:14
毕设题目是图像加密,2017-02-14 16:04:55
运算答案是 【第一列 6 33 6；第二列 6 44 10；第三列 6 55 14】吗？,2017-02-15 11:11:06
时间根本就不是空间上的第四维，难道1-3维空间就没有时间轴嘛？,2017-02-20 11:11:19
第四维一般认为是空间轴,2017-02-26 19:07:35
=。=2个在线,2017-02-26 22:10:46
2个在线我要去下一个了,2017-02-28 22:10:23
好短,2017-03-02 01:01:20
都在记笔记，自然发的人少，上课了啊| ू•ૅω•́)ᵎᵎᵎ,2017-03-03 20:08:13
好想对一下答案,2017-03-09 19:07:10
坚持到了这里,2017-03-10 18:06:14
学数学好爽啊,2017-03-11 01:01:31
我一口气可以看完！！！,2017-03-22 12:12:09
"""沿着y轴旋转90度"" 不应该是沿着x轴吗?",2017-03-25 21:09:02
我也是这个答案，终于弄懂了，这视频真不错！,2017-03-29 17:05:38
你们问我为什么跪着听？,2017-03-31 16:04:43
大家好我是四维空间的人，这个视频对我理解三维空间很有帮助,2017-04-08 19:07:04
四维空间这种胡扯的说法还去想象？当然想不出来,2017-04-19 20:08:15
3+1维的想法坑了多少人！语言就是一个维度，为什么不这么想？,2017-04-19 20:08:17
往上加维度的关键是把独立维度相成实在的，,2017-04-19 20:08:20
拿价值观举例，实际上没有价值观，价值是某种实在,2017-04-19 20:08:21
还有分数学物理意义的，文理分科玩多了吗？ ,2017-04-19 20:08:30
这是py做的吧,2017-04-27 09:09:18
前面坚持的逗笑我了，反正我是爽到这的qwq,2017-05-05 09:09:43
幸好我的线代过了,2017-05-06 12:12:38
这里啥意思？在变换前后，现在矩阵不就是在描述变换么？,2017-05-07 23:11:18
魔方,2017-05-08 23:11:09
四维向量主要是为了normalize位移计算，在这里我们不加以讨论,2017-05-12 09:09:10
<-翻译没错，这里意译当然比直译要好，别老想着直译,2017-05-15 17:05:18
那字幕你能别误导人吗？自以为是，这本来就是沿着y。没看懂就瞎说,2017-05-15 22:10:58
能写个游戏编程里最基本的按任意轴旋转的变幻矩阵T就行了,2017-05-16 11:11:34
矩阵初等变换就是N多的单位矩阵线性叠加起来的，,2017-05-16 11:11:35
各类高斯消元什么的都是根据单位矩阵线性叠加原理出来的,2017-05-16 11:11:36
之后还会有矩阵LU分解法,2017-05-16 11:11:36
沙比啊 那叫三维齐次化 多了个负责齐次用的而已 ,2017-05-16 11:11:38
终于理解E了2333,2017-05-23 17:05:43
说时间的 难道2D就是1D+时间嘛= = 一下子就反驳完了...认真听课,2017-05-27 15:03:08
上面这个答案是对的 我算了一遍 ...,2017-05-27 15:03:15
特别是最后那一步sum会让你有一种错觉怎么横竖那么麻烦,2017-05-27 15:03:16
用心去感受这个矩阵相乘,2017-05-27 15:03:17
四维空间长什么样？,2017-05-31 20:08:47
我去复习了。。,2017-05-31 21:09:58
二维还凑合 这种想象臣妾做不到啊...,2017-06-01 17:05:27
重新激发了我对数学的热爱,2017-06-02 00:12:15
还有一个^ω^,2017-06-02 00:12:16
考的好舒服,2017-06-02 00:12:17
沉迷,2017-06-02 00:12:21
认真记笔记听课^_^,2017-06-02 00:12:23
认真听课^ω^,2017-06-02 00:12:39
耶✌,2017-06-06 16:04:00
此处y轴定义是垂直于x轴的轴，xOy平面是水平面。,2017-06-06 17:05:44
全体起立！！！,2017-06-06 18:06:37
数学考完了,2017-06-07 17:05:09
画质变了？,2017-06-10 23:11:53
记笔记ing……,2017-06-13 07:07:52
时间维也是误导之一，仍是想当然的三维思想,2017-06-16 00:12:26
其实我想他讲四维或四维以上的矩阵。。。。。。。。。,2017-06-20 09:09:37
非方阵的几何意义感觉可以从方阵推广,2017-06-20 09:09:42
降维和升维,2017-07-05 00:12:02
第四个维度应该垂直于你的电脑屏幕,2017-07-06 08:08:37
其实计算机图形学用的仿射变换,2017-07-06 11:11:27
显卡危机,2017-07-08 13:01:38
看着好舒服，饭都不想吃了,2017-07-15 12:12:02
居然有十多个小伙伴一起看,2017-07-25 16:40:52
三次元,2017-07-26 12:06:54
"第一列：6,33,6；第二列：6,44,10；第三列：6,55,14。right？",2017-08-03 17:31:48
老师好,2017-08-09 18:05:11
666,2017-08-11 15:59:03
我擦 为啥不是z-hat,2017-08-11 21:48:14
三次元,2017-08-13 10:53:20
老师好,2017-08-20 11:48:13
之所以从右到左考虑，是因为这里把两个矩阵都当成是变换，两种变换,2017-08-21 19:45:47
而不是一个变换×一个矩阵的形式,2017-08-21 19:46:07
所以可以脑补右边还×了一个矩阵对象，左边两个要对它动手，就近原则,2017-08-21 19:47:13
这个网格线好熟悉啊，matlab狗路过,2017-08-28 21:38:15
沉迷学习，无法自拔,2017-09-09 11:49:12
后面的每一列代表了一次变换这么理解,2017-10-04 14:54:29
四维给三维空间每一个坐标点加一个深度值，比如颜色密度什么的,2017-10-16 21:29:30
请我滴,2017-10-23 14:08:39
同学们好,2017-10-23 18:17:27
瞬间懂了,2017-10-31 08:18:13
CS的学生看后，感觉前途一片光明,2017-11-01 11:21:49
真的是精神高度集中才听得懂,2017-11-04 13:18:56
其它的3个小伙伴都是期中前来补课的吗,2017-11-10 23:02:32
从机器学习跑到这里，收获很大,2017-11-11 02:21:13
规范正交基,2017-11-12 21:34:09
"投币投币,简直不要太棒",2017-11-21 00:02:44
引入任何一个正交的轴都可以，时间自然是其中之一,2017-11-23 00:14:46
空间四维 别用什么颜色时间之类的胡扯,2017-11-30 18:02:47
别把这个视频当教科书，这视频适合学完之后再回来看,2017-12-04 21:47:45
哇！4位同学！,2017-12-08 12:21:25
是这个答案~,2017-12-10 23:36:38
y居然是红色的？？？,2017-12-16 13:54:45
老师好++,2017-12-20 22:28:43
三维大脑没法想出真正的四维空间的.,2017-12-20 22:30:46
19考研，加油,2017-12-26 12:57:07
刚通过考试，终于可以发弹目了,2017-12-26 18:39:12
What?:,2017-12-26 18:40:33
老师好,2017-12-26 18:55:20
"答案【[6,6,6],[33,44,55],[6,10,14]】",2018-01-05 00:41:56
是的 因为有平移的存在 另外还有投影变换,2018-01-07 14:02:45
所谓三维的仿射变换在四维里也是线性变换,2018-01-07 14:05:20
另外4个兄弟加油,2018-01-22 16:28:45
说时间的，时间没有负半轴，你看看其他的轴，好了听课,2018-01-29 10:36:40
这次只有我一个了,2018-02-02 23:23:28
今天就我一个人了,2018-02-05 12:34:09
6 6 6,2018-02-05 22:07:25
33 44 55,2018-02-05 22:07:36
6 10 14,2018-02-05 22:07:52
时间没有负半轴？,2018-02-10 23:29:22
颜色？,2018-02-10 23:30:32
我们平日看到的也只是三维物体的投影，就比如这个坐标轴，在屏幕上看来是不垂直的，但实际上是垂直的，因为我们能想象到。,2018-02-12 01:24:08
哈哈 脑子里推出来了,2018-02-12 01:29:13
老师好,2018-03-10 21:25:43
因为ijk啊，显然是学计算机的,2018-03-22 05:30:46
2D还真可以是1,2018-03-26 14:33:38
2D还真可以是1D加时间，详见路程时间坐标轴,2018-03-26 14:35:01
3维坐标轴也只是3个变量的空间体现啊，如果三维坐标轴加上时间或者颜色，确实可以表现4维,2018-03-26 14:36:44
说没有负半轴的，只是我们看不到啊，视频不还可以倒放么，模拟还是做得到的,2018-03-26 14:38:38
貌似最高推论到了9维，10维推出矛盾了。。。,2018-04-07 22:02:04
上一集十二人，这一集五人,2018-04-20 21:17:59
时间轴和空间轴是分开的,2018-04-21 13:11:01
时间轴的，你怕是在开玩笑吧，这里每个量都是空间变化,2018-04-21 13:12:06
弹幕是最大的误导，建议不要看,2018-04-21 13:12:57
人脑无法想象四维空间不代表不能通过数学研究四维空间，数学的自洽性连阿列夫1维都能研究,2018-05-04 18:08:27
这种按列写的矩阵。。。会MATLAB的我表示很难受,2018-05-05 21:10:18
原来行列式的值是这个意思啊,2018-05-05 21:11:48
三维的vector变丑了( 。ớ ₃ờ),2018-05-21 20:45:53
我的理解是三维坐标加上该点的势能，就是多一个属性嘛,2018-06-13 18:12:23
别提时间轴了。带时间轴的四维空间是闵可夫斯基空间，但这里的四维空间欧几里得空间。两种空间中对距离的定义都不同的。,2018-06-15 22:47:12
代数和图像都是四维空间，哪有什么真实。。,2018-06-20 21:51:57
←认为10维出问题的，这里是数学上的空间，不是你物理的balabal,2018-06-20 22:20:12
我真的推了一下通式，难受,2018-06-26 21:38:52
辛普森？,2018-07-02 08:20:19
学霸一家,2018-08-02 12:52:45
【】,2018-08-02 13:12:25
666,2018-08-02 13:13:16
33 44 55,2018-08-02 13:13:32
6 10 16,2018-08-02 13:13:40
opengl做的,2018-08-06 22:29:45
关弹幕保智商,2018-08-10 09:14:00
别拿相对论来嚷嚷四维欧式空间，两个度规都不一样,2018-08-16 12:47:46
有趣，越看越停不下来学习,2018-08-20 15:34:09
立正！,2018-09-07 20:22:10
bgm是啥    估计他能给我灵感,2018-09-17 18:05:36
原来是二次元误入三次元233,2018-09-19 21:28:24
大家好我是二维空间的人，这个视频对我理解三维空间很有帮助,2018-09-20 09:02:04
沉浸在数学的海洋里忘记点外卖的我好饿啊,2018-10-30 11:31:48
垂直电脑屏幕还行23333,2018-11-13 23:29:00
我的天哪，感觉进去全新的世界,2018-11-25 16:22:04
相对论效应也可以用四维向量来求,2018-11-30 09:25:25
上节课没拖堂,2018-12-04 18:09:47
上瘾了。码单,2018-12-07 21:38:11
QAQ画质感人,2018-12-11 13:05:06
四维空间无法想象唉,2018-12-11 16:45:25
计算机图形学用的是哈密尔顿的四元数，虚部命名正好是ijk,2018-12-14 10:39:54
i帽[6 36 6] j帽[4 44 10] k帽[8 55 14],2018-12-16 15:04:34
进度条不可调戏？,2018-12-17 15:24:07
rm视觉来学些了。,2018-12-19 21:53:03
opengl里面的坐标糸统就要这个,2019-01-05 01:20:43
两种空间中怎么了啊 你倒是说完啊,2019-01-05 15:08:20
为什么不动y但是z轴移动了,2019-01-05 15:11:31
woc有合集...,2019-01-06 13:26:13
33  44 55,2019-01-19 11:11:39
6 10 14,2019-01-19 11:11:50
6  6  6,2019-01-19 11:11:31
多加轴的，该往哪加？,2019-01-27 15:36:56
二维变换里面的那个翻转在三维里是啥样的？,2019-01-27 17:11:06
头一次感觉学数学豪爽,2019-01-30 10:50:45
第一列6 6 6，第二列33 44 55，第三列6 10 14（好像和前面一个兄弟一样的）,2019-02-01 15:45:03
本质还是三维，剩下的用来做平移缩放旋转之类的变换的,2019-02-12 02:47:45
维度是可以定义的呀，温度呀颜色呀都能定义成第四维度,2019-02-15 18:56:22
太爽了,2019-02-25 18:25:47
关于图形学，移步3b1b四元数系列,2019-03-04 10:07:17
对,2019-03-18 07:52:15
前面说了我才发现mac自带了个grapher,2019-04-03 16:24:40
下课铃真好听！！！,2019-04-07 14:39:14
大家好我是智子小姐姐，上面那些弟弟我一刀一个,2019-04-18 11:01:15
银河帝国？,2019-04-20 21:45:57
走进新世界啊,2019-04-24 22:20:32
看到这 感觉和自己理解没啥区别,2019-04-30 13:00:45
右面 待变换的3列之间没有关系，放在一起只是巧合，所以只要对每一列单独变换，再把结果放在一起,2019-04-30 14:47:18
大家好,2019-05-18 17:55:03
ijk这个记法是从四元数搬过来的，i其实是虚数单位的i,2019-05-18 18:11:30
时间维度和其余的三个维度有根本的区别，运算规则都不一样。,2019-05-18 18:11:04
双关。。。。,2019-06-08 10:19:21
上头那个是对的吧我算的也是这个,2019-06-22 22:12:12
明显  三维单位矩阵就是基向量,2019-06-30 16:36:15
这里的flatland 双关  一为平面世界  二为糟糕的世界 flat,2019-06-30 16:38:41
矩阵初等变换来了,2019-06-30 16:49:04
原来不是空间想象啊,2019-07-09 19:59:51
厉害,2019-07-18 20:59:34
单位矩阵,2019-07-18 22:33:24
我可以发弹幕了吗？,2019-07-21 00:19:20
起立！老师好~,2019-07-25 17:22:41
一口气12集,2016-10-21 15:03:08
 me too！,2016-10-21 21:09:31
我是晕晕乎乎的了,2016-10-21 21:09:44
代数几何上帝..,2016-10-21 21:09:57
7人,2016-10-21 22:10:49
晕呼呼呼~,2016-10-21 23:11:45
还有3个小伙伴,2016-10-22 04:04:24
看第二遍。终于懂了。,2016-10-23 09:09:09
线代最核心的概念就是linear transformation,2016-10-23 09:09:14
点题之处,2016-10-23 09:09:45
有点蒙,2016-10-23 11:11:13
底乘高,2016-10-24 11:11:51
不懂1：降为一维的变换和某一向量为对偶关系是否太过“强行”,2016-10-25 00:12:48
把这个和解析几何一块学就简单一些了,2016-10-25 01:01:13
这个就是解析几何的混合积,2016-10-25 01:01:14
不懂2.通过构造行列式来构造三维到一维的变换是否理解正确,2016-10-25 01:01:14
这一步应用了行列式是单位体积放大倍数也就是实际体积的概念？,2016-10-25 01:01:17
沒夥伴了,2016-10-25 08:08:22
叉乘得到的不是面积啊,2016-10-26 10:10:56
可不可以理解成f(2x)=2f(x),2016-10-26 11:11:03
字幕太良心了，还考证。,2016-10-28 00:12:23
听不懂了5555555555555,2016-10-30 11:11:12
存活确认,2016-11-04 23:11:25
元气满满,2016-11-05 20:08:50
@_@,2016-11-06 20:08:22
←很自然一点都不强行,2016-11-07 10:10:11
啊…好晕,2016-11-09 01:01:05
"这相当于在【x,y,z】的左边乘上一个3*1的矩阵(将矩阵看成线性变换)p",2016-11-09 21:09:09
这里说明了我们构造出来的向量p是等于vw的叉积。后面说明,2016-11-09 21:09:49
"后面说明，等式左边表明将【x,y,z】投影到p上再乘以p的模",2016-11-09 21:09:50
右边是平行六面体的体积,2016-11-09 21:09:52
阵亡,2016-11-11 23:11:42
像看番一样欲罢不能,2016-11-13 09:09:03
←学了泛函分析你就知道，希尔伯特空间都有这种对应的对偶空间,2016-11-14 21:09:21
翻译好仔细,2016-11-17 16:04:24
忽然看不懂了,2016-11-17 16:04:38
到这里晕了,2016-11-19 11:11:16
晕了,2016-11-20 01:01:53
阵亡,2016-11-20 13:01:42
这节完全看不懂......,2016-11-22 22:10:40
好好听就行了,2016-11-26 13:01:36
矢量积运算好像还是得到矢量吧。。。,2016-11-26 21:09:53
晕了的叫你们不暂停思考,2016-11-29 20:08:47
懵哔了,2016-12-05 23:11:48
gay transformation,2016-12-05 23:11:54
懂了！这种理解真的太棒了！,2016-12-07 21:09:47
混合积,2016-12-09 09:09:27
zuo看来你还没懂what duality means,2016-12-09 09:09:39
←看来你还没懂duality啥意思,2016-12-09 09:09:40
看不懂得话回去看看前两节就好了,2016-12-11 20:08:34
把xyz都设为1就是单位变换六面体了,2016-12-12 23:11:36
这个时候已经可以把xyz看成ijk了,2016-12-15 13:01:20
不对,2016-12-15 20:08:25
这个强！！！,2016-12-18 22:10:01
 很清晰啊,2016-12-18 22:10:01
还好 满血..,2016-12-20 17:05:34
忽然就懂了混合积的意义,2016-12-21 23:11:52
最难懂的一章 其几章都已经完全消化了,2016-12-22 14:02:57
混合积,2016-12-22 23:11:52
明天重看一遍，有点晕,2016-12-23 01:01:07
painfully哈哈哈,2016-12-24 21:09:40
可能是看得太多了，休息一下再看,2016-12-24 21:09:46
暴力,2016-12-24 23:11:13
头很痛，但这吸引我接着看，不要睡,2016-12-28 20:08:38
妙不可言啊,2016-12-31 19:07:42
