车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
别克GL8,2014款,,2.4,自动,经典版,2015年5月,2.5,18.3,22.7,,,,,,,,,,
长安CX20,2014款,,1.4,自动,天窗导航版,2015年1月,5.4,4.9,7,,,,,,,,,,
江淮瑞风S5,2013款,,1.8T,手动,新锐版,2013年6月,3.2,6.5,11.9,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,1.8,自动,时尚型,2010年4月,9.5,5.2,14.6,,,,,,,,,,
宝马7系,2013款,730Li,3,自动,领先型(进口),2013年7月,4.9,53,100.7,,,,,,,,,,
别克GL8,2014款,,2.4,自动,经典版,2014年1月,6.4,16.1,22.7,,,,,,,,,,
捷豹XJ,2012款,XJL,3,自动,旗舰商务版(进口),2012年1月,4.1,49.8,125.7,,,,,,,,,,
大众迈腾,2011款,迈腾,1.4TSI,双离合,精英版,2011年7月,5.3,10.98,22.1,,,,,,,,,,
英菲尼迪G25-三厢,2013款,,2.5,自动,豪华运动版(进口),2012年10月,11.7,19.8,40.8,,,,,,,,,,
雪铁龙C5,2012款,C5,2.3,自动,尊驭型,2012年6月,7,11.5,22.2,,,,,,,,,,
雪佛兰科鲁兹,2013款,,1.6,手动,SE,2012年10月,7.3,6.5,13,,,,,,,,,,
路虎神行者2代,2012款,,2.0T,自动,Si4 HSE 汽油版(进口),2012年5月,3.4,32,64.9,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-两厢,1.6,手动,冠军版,2012年1月,13.1,4.6,12,,,,,,,,,,
福特锐界,2011款,锐界,3.5,自动,尊锐型(进口),2011年7月,5.9,22.7,46.7,,,,,,,,,,
斯柯达野帝,2014款,野帝,1.8TSI,双离合,极地版,2014年11月,2.5,15.5,24.3,,,,,,,,,,
大众迈腾,2013款,迈腾,2.0TSI,双离合,至尊版,2014年10月,4.2,18.9,31.8,,,,,,,,,,
比亚迪S7,2015款,,2.0TID,双离合,旗舰型,2015年1月,1.4,11.5,15.2,,,,,,,,,,
别克君威,2015款,,1.6T,自动,时尚技术型,2015年9月,2.5,16,21.7,,,,,,,,,,
MINI,2011款,Mini Cooper S,1.6T,自动,(进口),2011年7月,4.8,15.2,39,,,,,,,,,,
大众CC,2013款,CC,1.8TSI,双离合,豪华版,2014年7月,5.1,20,29.2,,,,,,,,,,
本田雅阁,2008款,第八代雅阁,2,自动,EX Navi 标准导航版,2009年1月,6.1,9.5,23.9,,,,,,,,,,
福特翼搏,2013款,翼搏,1.5,双离合,尊贵型,2015年7月,1.1,9.9,13.9,,,,,,,,,,
福特探险者,2013款,探险者,3.5,自动,尊享型(进口),2013年7月,4.4,38.8,58.6,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,自动,GL-I 天窗特别版,2010年7月,7.2,7.08,16.3,,,,,,,,,,
本田杰德,2014款,杰德,1.8,自动,Exi 舒适精英版5座,2014年9月,1.7,12.8,17.1,,,,,,,,,,
日产NV200,2014款,NV200,1.6,手动,豪华型,2014年5月,5.2,7.5,11.7,,,,,,,,,,
大众高尔夫,2010款,高尔夫6,1.6,手动,时尚版,2010年9月,5.7,6,12.9,,,,,,,,,,
雪佛兰迈锐宝,2013款,,2,自动,SE 豪华版,2013年7月,3.9,12.3,19.7,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.4TSI,双离合,舒适版,2011年6月,9.9,8.5,16.3,,,,,,,,,,
奥迪A4L,2010款,A4L,2.0TFSI,无级,132kw标准型,2010年5月,8.1,14.5,33.6,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X 雷 两驱,2010年10月,5.5,9.5,20.5,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012年7月,6,28.9,47,,,,,,,,,,
奥迪A7,2014款,A7 Sportback,2.8FSI,双离合,35FSI 技术型(进口),2014年11月,2.1,48,79,,,,,,,,,,
奇瑞瑞虎5,2014款,,2,手动,家悦版,2014年6月,7.2,6.9,10.8,,,,,,,,,,
陆风X8,2009款,,2.4,手动,四驱超豪华型,2010年8月,8.8,4.9,16.5,,,,,,,,,,
大众朗逸,2011款,朗逸,1.6,自动,品雅版,2011年6月,4.9,7.5,14.6,,,,,,,,,,
Jeep指南者,2014款,,2.4,自动,豪华导航版(进口),2013年11月,4.2,16.5,30.5,,,,,,,,,,
起亚秀尔,2010款,,1.6,自动,GLS,2010年1月,8.6,5.2,13.7,,,,,,,,,,
长城C30,2010款,,1.5,手动,豪华版,2010年11月,6.5,3.1,7.2,,,,,,,,,,
宝马5系,2012款,523Li,2.5,自动,豪华型,2012年9月,6.1,31.5,53.7,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,豪华型,2015年2月,6.2,17.5,25.3,,,,,,,,,,
宝马5系,2013款,535Li,3.0T,自动,领先型,2013年6月,3.3,40,69.4,,,,,,,,,,
道奇酷威,2013款,,2.4,自动,两驱尊尚版(进口),2015年3月,3.1,22.1,31.7,,,,,,,,,,
宝马5系,2014款,528Li,2.0T,自动,领先型,2015年4月,2.4,42.5,59.8,,,,,,,,,,
奔驰威霆,2014款,威霆,3,自动,商务版,2015年7月,3,48,42.2,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪华版,2010年10月,8.2,12,29.6,,,,,,,,,,
长安CS35,2015款,,1.6,自动,豪华型,2015年5月,3,7.3,10.1,,,,,,,,,,
奔驰S级,2015款,S400L 4MATIC,3.0T,自动,(进口),2015年1月,2.4,108,145.2,,,,,,,,,,
路虎揽胜运动版,2010款,,5,自动,V8 NA HSE(进口),2010年8月,12,60,151.7,,,,,,,,,,
东南V3菱悦,2012款,,1.5,手动,亲民版豪华版,2012年10月,9.1,3.25,6.9,,,,,,,,,,
奔驰C级,2009款,C200K,1.8T,自动,优雅型,2010年5月,8.2,16,41.8,,,,,,,,,,
日产逍客,2012款,逍客,1.6,手动,XE 风 两驱,2012年3月,7,8.2,15.2,,,,,,,,,,
日产颐达,2008款,颐达,1.6,自动,JE 智能型,2010年1月,8.3,5.8,13.8,,,,,,,,,,
现代ix35,2013款,,2,自动,GLS 两驱智能型,2013年9月,3.3,13.5,21.4,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2009年12月,12.2,4.35,12.9,,,,,,,,,,
沃尔沃XC60,2013款,,2.0T,双离合,T5 智雅版(进口),2013年4月,4.7,28.5,51.5,,,,,,,,,,
大众迈腾,2011款,迈腾,1.8TSI,双离合,舒适版,2011年7月,8.2,11.5,24.6,,,,,,,,,,
东南V3菱悦,2011款,,1.5,手动,豪华版,2011年8月,7.2,3.3,7.5,,,,,,,,,,
中华尊驰,2008款,,1.8,手动,豪华版,2008年4月,17.6,2.3,13.5,,,,,,,,,,
大众速腾,2012款,速腾,1.4TSI,双离合,豪华版,2012年5月,9.7,10.9,18.2,,,,,,,,,,
大众迈腾,2012款,迈腾,2.0TSI,双离合,尊贵版,2012年9月,3.5,18,29,,,,,,,,,,
奥迪A3,2014款,A3 Sportback,1.4TFSI,双离合,35TFSI 舒适型,2015年1月,2.4,18.3,27,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013年12月,7,29.5,47,,,,,,,,,,
宝马X5,2014款,X5 xDrive35i,3.0T,自动,豪华型(进口),2014年7月,1,80,106.9,,,,,,,,,,
宝马X1,2010款,X1 sDrive18i,2,自动,豪华型(进口),2011年6月,6.6,17.8,39.8,,,,,,,,,,
马自达6,2011款,6,2,自动,时尚版,2012年4月,10.9,8.3,19.5,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2008年12月,8.4,4,12.9,,,,,,,,,,
沃尔沃S60L,2015款,,2.0T,自动,T5 智驭版,2015年2月,2.8,26,37,,,,,,,,,,
雪佛兰乐风,2010款,,1.4,手动,SE 风度版,2010年7月,11.3,3.2,8.9,,,,,,,,,,
斯柯达晶锐,2012款,晶锐,1.4,手动,晶致版,2011年11月,2,4.2,8.6,,,,,,,,,,
现代新胜达,2011款,,2.4,自动,5座两驱舒适版(进口),2011年10月,9,13.5,24.6,,,,,,,,,,
标致408,2010款,,2,自动,豪华版,2010年8月,9.7,6,16.9,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2010年1月,10.8,9.9,24.6,,,,,,,,,,
日产逍客,2008款,逍客,2,无级,20X 雷 两驱,2009年2月,12.3,8,20.5,,,,,,,,,,
别克GL8,2011款,,3,自动,XT 旗舰版,2012年3月,7.7,23.5,42.1,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,手动,豪华型,2014年4月,4.7,11.2,16.7,,,,,,,,,,
福特探险者,2013款,探险者,3.5,自动,尊享型(进口),2014年9月,1.6,41,58.6,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,手动,SE,2010年4月,8.5,5.38,13,,,,,,,,,,
奥迪A6L,2011款,A6L,2.4,无级,舒适型,2011年9月,10.1,21.2,51.6,,,,,,,,,,
奔驰C级,2015款,C300,2.0T,自动,运动版,2015年7月,2,39.5,49.8,,,,,,,,,,
大众迈腾,2012款,迈腾,1.8TSI,双离合,豪华版,2011年11月,4.2,14.3,25.3,,,,,,,,,,
别克君威,2010款,,1.6T,手动,精英运动版,2010年6月,3.5,9.5,22.5,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型(改款),2015年1月,2.7,13.5,18.2,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,实尚版,2009年1月,9.3,3.5,10.3,,,,,,,,,,
凯迪拉克SRX,2013款,,3,自动,精英型(进口),2013年9月,2,30,51,,,,,,,,,,
宝马5系,2012款,530Li,3,自动,豪华型,2012年7月,3.7,35,68.3,,,,,,,,,,
MINIClubman,2011款,One Clubman,1.6,自动,(进口),2013年6月,2.5,15.8,26.6,,,,,,,,,,
日产天籁,2015款,,2.5,无级,XL Upper 欧冠科技版,2015年6月,1.5,18.2,23.2,,,,,,,,,,
起亚索兰托,2009款,,2.4,自动,5座汽油至尊版(进口),2010年12月,11.8,13.5,29.1,,,,,,,,,,
丰田雅力士,2011款,雅力士,1.6E,自动,魅动版,2010年12月,7.9,4.4,10.3,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-两厢,1.6,手动,悦雅型,2011年5月,11,4.7,13.1,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,TOP 顶级型,2012年2月,6.1,12.6,25.3,,,,,,,,,,
大众速腾,2012款,速腾,1.6,手动,舒适版,2012年11月,7.4,8.8,15.1,,,,,,,,,,
福特嘉年华,2013款,嘉年华-两厢,1.5,手动,风尚型,2013年11月,2.5,5.5,8.7,,,,,,,,,,
路虎神行者2代,2014款,,2.0T,自动,Si4 SE 汽油版(进口),2014年6月,6.7,38,58.4,,,,,,,,,,
奥迪Q7,2012款,Q7,3.0TFSI,自动,进取型 200kw(进口),2011年9月,8.5,42,89.1,,,,,,,,,,
奇瑞QQ3,2009款,,0.8,手动,启航版,2010年12月,3.5,1.2,3.7,,,,,,,,,,
奇瑞QQ3,2012款,,1,手动,时尚版启航型,2012年12月,1.3,2,3.9,,,,,,,,,,
绅宝,2013款,,2.0T,自动,精英版,2015年3月,6.3,10.2,18,,,,,,,,,,
奇瑞旗云,2008款,,1.5,手动,豪华版,2009年10月,2.9,1.95,6.1,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,豪华版,2010年11月,10,15,30.2,,,,,,,,,,
日产奇骏,2012款,奇骏,2.5,无级,XL 豪华版,2013年8月,4.7,15.6,26,,,,,,,,,,
奔驰S级,2012款,S300L ,3,自动,商务型 Grand Edition(进口),2013年3月,3.5,59,100.9,,,,,,,,,,
长安商用欧诺,2012款,,1.5,手动,运动精英型,2012年10月,5.5,3,6.1,,,,,,,,,,
Jeep牧马人,2012款,,3.6,自动,四门 Sa,2012年4月,7.8,34,53.2,,,,,,,,,,
雪佛兰爱唯欧-三厢,2011款,,1.6,手动,SX,2012年8月,4.7,5.5,10.8,,,,,,,,,,
奥迪A3,2014款,A3 Limousine,1.4TFSI,双离合,35TFSI 时尚型,2016年6月,0.4,18.5,24.4,,,,,,,,,,
丰田汉兰达,2012款,汉兰达,2.7,自动,两驱5座精英版,2013年6月,10.3,17.7,27,,,,,,,,,,
宝马3系,2013款,328i,2.0T,自动,运动型设计套装(进口),2013年4月,5,26.5,46.3,,,,,,,,,,
大众途观,2012款,途观,1.8TSI,自动,两驱风尚版,2013年4月,4.5,17,25.4,,,,,,,,,,
奥迪A4,2014款,A4 Allroad Quattro,2.0T,双离合,40TFSI(进口),2013年12月,4.2,29,51,,,,,,,,,,
大众甲壳虫,2013款,甲壳虫,1.4TSI,双离合,舒适型(进口),2013年7月,7.4,15.3,30.4,,,,,,,,,,
奥迪TT,2011款,TT Roadster,2.0TFSI,双离合,Quattro(进口),2011年8月,5.2,25.2,64.3,,,,,,,,,,
雪铁龙世嘉,2009款,世嘉-三厢,1.6,手动,时尚型,2010年8月,7,4.5,11.8,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2013年7月,8.3,28.2,47,,,,,,,,,,
大众迈腾,2011款,迈腾,1.4TSI,双离合,标准版,2010年11月,5.9,10.3,21,,,,,,,,,,
起亚K3,2013款,,1.6,自动,DLX,2013年10月,3.6,9,14.3,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,风尚设计套装,2013年11月,6.8,35.8,54.2,,,,,,,,,,
标致408,2011款,,2,手动,豪华版,2012年1月,9.4,6.3,15.6,,,,,,,,,,
路虎揽胜极光,2015款,,2.0T,自动,耀动版(进口),2014年9月,3.1,45,68.2,,,,,,,,,,
奥迪A6L,2010款,A6L,2.4,无级,舒适型,2010年1月,12.1,18.5,51.6,,,,,,,,,,
奇瑞QQ3,2009款,,1,手动,,2010年12月,4.7,1.4,4,,,,,,,,,,
宝马1系,2010款,120i,2,自动,巧克力个性版(进口),2010年8月,11.7,10.9,32.5,,,,,,,,,,
马自达6,2011款,6,2,自动,时尚版,2011年10月,9.9,8,19.5,,,,,,,,,,
大众捷达,2013款,捷达,1.6,手动,时尚型,2014年5月,4.4,6.5,9.6,,,,,,,,,,
奔驰C级,2009款,C200K,1.8T,自动,标准型,2010年2月,5.7,15.8,37.8,,,,,,,,,,
福特锐界,2012款,锐界,2.0T,自动,精锐型(进口),2015年6月,3.7,24.6,31.8,,,,,,,,,,
奥迪A6L,2015款,A6L,2.0TFSI,无级,百万纪念智领型,2015年4月,4.7,31.8,43.2,,,,,,,,,,
保时捷卡宴,2015款,卡宴S,3.6T,自动,(进口),2015年4月,5.6,121,148.6,,,,,,,,,,
现代途胜,2013款,,2,手动,GL两驱时尚型,2013年8月,5.5,9.2,18.4,,,,,,,,,,
福特蒙迪欧,2012款,蒙迪欧致胜,2.0T,双离合,旗舰运动型,2013年1月,3.8,13.6,27.9,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,豪华设计套装,2014年8月,6.5,39,54.2,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS 两驱智能型5座,2013年8月,4.8,18.7,27.1,,,,,,,,,,
奇瑞瑞虎,2012款,,1.6,手动,DVVT 精英版舒适型,2013年8月,6.7,5.2,9.7,,,,,,,,,,
宝马3系,2012款,320i,2,自动,时尚型,2012年3月,5.8,16.8,38.1,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,豪华型,2015年7月,2.3,19,25.3,,,,,,,,,,
路虎揽胜,2015款,,3.0T,自动,V6 SC Vogue SE 创世加长版(进口),2015年7月,2.3,155,191.9,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,领先型,2013年8月,6.4,30.8,49.9,,,,,,,,,,
宝骏乐驰,2012款,,1.2,手动,运动版优越型,2013年6月,8.5,2.5,4.6,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS 四驱智能型5座,2014年10月,1.9,20.5,28.2,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200 时尚型,2014年4月,3.2,16.8,22,,,,,,,,,,
别克英朗,2013款,英朗GT,1.6,手动,进取版,2013年8月,7,8.2,14.9,,,,,,,,,,
马自达3,2010款,3,1.6,自动,经典款 时尚版,2010年10月,8.7,5.5,13.3,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2010年9月,5.4,10.8,24.6,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,双离合,风尚型,2012年12月,4.6,8.2,15.6,,,,,,,,,,
现代ix35,2012款,,2,自动,GLS 四驱尊贵型,2013年3月,7.4,13.5,21.3,,,,,,,,,,
大众途安,2011款,途安,1.4TSI,手动,5座智尚版,2012年12月,9.4,9,16.3,,,,,,,,,,
宝马5系,2013款,530Li,3,自动,领先型,2012年12月,4.4,33,60.7,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,豪华版,2012年2月,7.5,10.5,18.2,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,尊雅版,2010年12月,6.9,10.48,25.6,,,,,,,,,,
雪铁龙C5,2013款,C5,2,自动,尊享型,2014年2月,0.9,14,20.6,,,,,,,,,,
丰田RAV4,2012款,RAV4,2,自动,经典版,2012年9月,6.1,13.6,21.5,,,,,,,,,,
别克英朗,2013款,英朗XT,1.6,自动,时尚版,2013年9月,5.8,8.2,16.3,,,,,,,,,,
丰田汉兰达,2013款,汉兰达,2.7,自动,紫金版7座,2014年6月,4.5,26.8,35.7,,,,,,,,,,
MINI,2012款,Mini Cooper S,1.6T,自动,Fun(进口),2013年7月,1.8,18.6,34.6,,,,,,,,,,
现代ix35,2010款,,2,自动,GLS 四驱尊贵型,2010年8月,5.7,10.5,23.4,,,,,,,,,,
捷豹XJ,2014款,XJL,3.0T,自动,SC 四驱全景商务版(进口）,2014年1月,5.5,65,118.1,,,,,,,,,,
雪铁龙凯旋,2008款,凯旋,2,手动,精英型,2008年12月,13.1,3.3,16.3,,,,,,,,,,
本田歌诗图,2012款,歌诗图,2.4,自动,豪华版,2014年1月,8.1,17.3,28.2,,,,,,,,,,
凯迪拉克SRX,2013款,,3,自动,豪华型(进口),2013年7月,3.4,29.8,54.1,,,,,,,,,,
荣威550,2010款,,1.8,自动,DVVT 世博风尚版,2010年10月,8.2,5.5,15.2,,,,,,,,,,
宝马5系,2012款,535Li,3.0T,自动,领先型,2012年4月,6.6,34,69.4,,,,,,,,,,
宝马5系,2014款,GT 535i,3.0T,自动,设计套装(进口),2014年3月,4.3,58.8,108.4,,,,,,,,,,
雪佛兰景程,2011款,,1.8,自动,SX 豪华版,2010年12月,7.9,6,16.8,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X 雷 两驱,2010年12月,2.6,9.88,20.5,,,,,,,,,,
别克凯越,2008款,,1.6,自动,舒适版,2009年3月,8.3,4.4,12.8,,,,,,,,,,
比亚迪S6,2014款,,1.5TI,手动,尊贵型,2014年11月,2.5,7.5,10.6,,,,,,,,,,
雪铁龙C4,2014款,C4L,1.6THP,自动,智驱版劲智型,2014年5月,5,10.9,18.4,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012年2月,2.7,11.8,21.7,,,,,,,,,,
雷克萨斯GS,2011款,GS300,3,自动,辉煌版(进口),2011年12月,12.6,27,70.4,,,,,,,,,,
奥迪A8L,2014款,,3.0TFSI,自动,45TFSI quattro舒适型(进口),2014年3月,9,58,100.6,,,,,,,,,,
MINICountryman,2011款,Cooper S Countryman,1.6T,自动(进口),,2013年4月,8.2,21.5,40.8,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200 时尚型,2015年10月,1.4,17.5,22,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,领先型,2015年6月,4.3,17.6,23.9,,,,,,,,,,
长安商用星光4500,2012款,,1.3,手动,标准型,2014年11月,5.7,3.5,6,,,,,,,,,,
奔驰S级,2012款,S300L ,3,自动,商务型Grand Edition(进口),2013年9月,8,67,100.9,,,,,,,,,,
比亚迪S7,2015款,,2.0TID,双离合,旗舰型,2015年5月,5.4,10.9,15.2,,,,,,,,,,
Jeep大切诺基,2012款,,3.6,自动,旗舰尊崇版(进口),2012年4月,8.5,39.8,78.1,,,,,,,,,,
奔驰C级,2008款,C200K,1.8T,自动,时尚型,2009年8月,9.3,13.8,42.9,,,,,,,,,,
奔驰C级,2008款,C200K,1.8T,自动,时尚型,2009年8月,9.3,13.8,42.9,,,,,,,,,,
大众Polo,2009款,POLO 劲情,1.6,自动,Sporty,2010年4月,7,5.5,11.7,,,,,,,,,,
哈弗H6,2015款,H6 Coupe,2.0T,双离合,两驱尊贵型,2015年12月,0.3,15.2,18.6,,,,,,,,,,
起亚狮跑,2009款,,2,自动,GLS两驱,2010年4月,3,8.5,20,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,贵雅版,2010年3月,8.8,9.3,23.4,,,,,,,,,,
凯迪拉克凯雷德油电混合,2010款,,6,无级,(进口),2011年5月,5.8,60,151.7,,,,,,,,,,
雷克萨斯ES,2010款,ES240,2.4,自动,典雅版(进口),2011年5月,13.2,17.2,42.3,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳 志俊,1.8,手动,舒适版,2011年8月,8.9,5,10.8,,,,,,,,,,
标致408,2011款,,2,自动,舒适版,2012年5月,4.8,7.5,15.4,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型,2014年5月,3.6,13,18.2,,,,,,,,,,
SmartFortwo Coupe,2013款,,1,自动,MHD城市游侠特别版(进口),2013年7月,2.7,8,15.2,,,,,,,,,,
奔驰GLK级,2013款,GLK 300 4MATIC,3,自动,动感天窗型,2014年11月,2.5,38,47.5,,,,,,,,,,
大众途观,2012款,途观,1.8TSI,自动,四驱菁英版,2012年8月,2.9,19,29.5,,,,,,,,,,
沃尔沃S80L,2012款,,2.0T,双离合,T5智雅版,2012年9月,4.1,20,44,,,,,,,,,,
雷克萨斯GS,2014款,GS250,2.5,自动,F-Sport(进口),2013年12月,2.5,32.5,60.8,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,舒适版,2014年3月,3.6,10.7,16.4,,,,,,,,,,
马自达6,2014款,,2,自动,经典型,2014年6月,6.9,9.5,15.2,,,,,,,,,,
大众夏朗,2012款,夏朗,2.0TSI,双离合,舒适版(进口),2013年1月,4.4,21.5,39.6,,,,,,,,,,
本田雅阁,2016款,第九代雅阁,2,无级,舒适版,2016年7月,0.6,17,19.5,,,,,,,,,,
大众途安,2008款,途安,2,自动,5座智雅版,2010年7月,10.6,8,18.6,,,,,,,,,,
大众途观,2015款,,1.8TSI,自动,两驱风尚版,2016年1月,3.6,18,23,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,GLX豪华型,2012年8月,4.8,11,20.6,,,,,,,,,,
日产天籁,2013款,天籁,2,无级,XL舒适版,2015年9月,3.6,15,20.2,,,,,,,,,,
丰田RAV4,2011款,RAV4,2.4,自动,至臻版,2011年5月,7.8,12.2,28.2,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,豪华版,2011年3月,6.4,15.3,30.2,,,,,,,,,,
本田雅阁,2010款,第八代雅阁,2,自动,EX Navi 标准导航版,2010年8月,10.7,9.9,24.2,,,,,,,,,,
别克君威,2014款,,1.6T,自动,时尚技术型,2014年9月,0.7,14,21.7,,,,,,,,,,
奇瑞E3,2015款,,1.5,手动,实尚版,2015年1月,2.8,4.7,7,,,,,,,,,,
比亚迪S6,2013款,,2,手动,尊享型,2013年8月,5.4,6,12.4,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,自动,SL,2009年8月,7.8,4.5,13.3,,,,,,,,,,
大众桑塔纳,2015款,桑塔纳,1.6,自动,舒适版,2015年1月,1.7,7.98,12.4,,,,,,,,,,
雪佛兰迈锐宝,2014款,,2,自动,SE豪华版,2015年7月,2.4,13.3,20.3,,,,,,,,,,
别克昂科拉,2013款,,1.4T,手动,G都市进取型,2013年5月,6.9,9.2,16.3,,,,,,,,,,
标致308,2012款,,2,自动,风尚型,2013年3月,5.7,6.9,14.3,,,,,,,,,,
丰田卡罗拉,2014款,卡罗拉,1.6,无级,GL,2016年1月,2.2,10.2,12.8,,,,,,,,,,
大众速腾,2012款,速腾,1.6,自动,时尚版,2013年4月,3.1,9.5,15.6,,,,,,,,,,
大众帕萨特,2011款,帕萨特,2.0TSI,双离合,御尊版,2012年3月,8.1,15.5,27.7,,,,,,,,,,
福特猛禽,2011款,F-150 SVT Raptor SuperCab,6.2,自动(进口),,2013年12月,5.3,42.5,71.4,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.6,双离合,舒适版,2011年8月,9.6,7.5,15.2,,,,,,,,,,
宝马X5,2013款,X5xDrive35i,3.0T,自动,领先型(进口),2013年9月,4.7,50,97.8,,,,,,,,,,
长安奔奔,2014款,,1.4,手动,尊贵型,2014年10月,2.4,3.3,5.6,,,,,,,,,,
奔驰GLK级,2015款,GLK300 4MATIC,3.0T,自动,时尚型极致版,2015年5月,1.6,38,52.6,,,,,,,,,,
哈弗H3,2009款,,2.4,手动,四驱超豪华版,2009年6月,4.8,4.2,13.9,,,,,,,,,,
东风风行菱智M3,2013款,,1.6,手动,标准型,2013年12月,8.8,3.8,7.3,,,,,,,,,,
威旺M20,2014款,,1.5,手动,舒适型,2014年12月,3.5,3.2,5.6,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪雅版,2010年12月,9.1,11,27.5,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2010年12月,13.1,4.5,12.9,,,,,,,,,,
日产天籁,2013款,天籁,2.5,无级,XLNAVI-Tec,2013年6月,6.5,14.7,24.2,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2010年12月,13.1,4.5,12.9,,,,,,,,,,
日产天籁,2013款,天籁,2.5,无级,XLNAVI-Tec,2013年6月,6.5,14.7,24.2,,,,,,,,,,
本田奥德赛,2009款,奥德赛,2.4,自动,豪华版,2011年4月,12.8,13.8,27.9,,,,,,,,,,
丰田威驰,2010款,威驰,1.6,自动,GL-i,2010年12月,5.8,4.99,11.7,,,,,,,,,,
奔驰C级,2013款,C260CGI,1.8T,自动,时尚型,2013年4月,3.8,20.5,42.1,,,,,,,,,,
奇瑞E5,2014款,,1.5,手动,优悦型,2013年5月,1.9,3.98,7.1,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.4TSI,双离合,豪华版,2011年4月,4.2,9.5,18.1,,,,,,,,,,
MINI,2012款,Mini Cooper S,1.6T,自动,Fun(进口),2012年12月,3.1,18.5,34.6,,,,,,,,,,
金杯小海狮X30,2013款,,1.3,手动,舒适型,2014年2月,4.8,2.48,4.5,,,,,,,,,,
MINIClubman,2011款,Clubman,1.6,自动,Fun(进口),2010年12月,7,12.98,31.4,,,,,,,,,,
比亚迪S6,2013款,,2,手动,精英型,2013年4月,2.9,6,10.5,,,,,,,,,,
凯迪拉克XTS,2014款,,2.0T,自动,28T精英型,2015年3月,2.1,28,41.2,,,,,,,,,,
别克君威GS,2014款,,2.0T,自动,豪情运动版,2014年5月,2.4,17,26,,,,,,,,,,
奇瑞瑞虎,2012款,,1.6,手动,DVVT精英版舒适型,2012年3月,6,4.89,9.7,,,,,,,,,,
奥迪A6L,2015款,A6L,2.0TFSI,无级,百万纪念智领型,2015年12月,1.6,33,43.2,,,,,,,,,,
本田雅阁,2013款,第八代雅阁,2.4,自动,SE,2012年12月,4.7,14.3,24.9,,,,,,,,,,
